Name	Job Title	Level	Pay Grade	Years	Reports To
Concetta Howarth	Chairman of the Board	1	25	22	No One
Eleanora Bey	Board of Directors	2	20	5	Concetta Howarth
Olimpia Silverman	Board of Directors	2	20	3	Concetta Howarth
Barbera Timmerman	Board of Directors	2	20	17	Concetta Howarth
Glennie Quintanilla	Board of Directors	2	20	7	Concetta Howarth
Amy Risk	Board of Directors	2	20	9	Concetta Howarth
Lachelle Amado	Board of Directors	2	20	2	Concetta Howarth
Shellie Turcios	CEO	2	20	11	Concetta Howarth
Esperanza Demar	CFO	3	16	6	Shellie Turcios
Darcey Mckamey	COO	3	16	6	Shellie Turcios
Sheryl Mazzariello	CTO	3	16	9	Shellie Turcios
Dorothea Draves	Accounting Manager	4	6.5	14	Esperanza Demar
Kai Gremillion	Directors of HR	4	6	4	Darcey Mckamey
Lanette Clemmer	Accounting Manager	4	6.5	13	Esperanza Demar
Lurlene Sartain	Directors of IT	4	5.5	2	Sheryl Mazzariello
Phil Delagarza	Accounting Manager	4	6.5	25	Esperanza Demar
Donnetta Font	Accounting Manager	4	6.5	18	Esperanza Demar
Noelia Forster	Directors of IT	4	5.5	25	Sheryl Mazzariello
Oma Burrill	Accounting Manager	4	6.5	1	Esperanza Demar
Francene Dollar	Directors of HR	4	6	20	Darcey Mckamey
Kristian Chiesa	Accounting Manager	4	6.5	5	Esperanza Demar
Brunilda Nipper	Directors of IT	4	5.5	19	Sheryl Mazzariello
Alfred Geter	Accountants	5	3.5	4	Dorothea Draves
Amanda Bevacqua	IT Managers	5	2.5	23	Noelia Forster
Christia Petre	HR Leads	5	3	1	Kai Gremillion
Manuel Bate	Accountants	5	3.5	23	Oma Burrill
Soledad Xu	IT Managers	5	2.5	9	Lurlene Sartain
Alan Gagnon	HR Leads	5	3	6	Kai Gremillion
Shirlene Minardi	HR Leads	5	3	14	Kai Gremillion
Lorita Thigpen	HR Leads	5	3	17	Francene Dollar
Carrie Oscar	HR Leads	5	3	16	Francene Dollar
Jacelyn Veith	HR Leads	5	3	7	Francene Dollar
Leroy Mathewson	Accountants	5	3.5	1	Dorothea Draves
Kristy Derosia	Accountants	5	3.5	3	Donnetta Font
Trinidad Mccrum	IT Managers	5	2.5	2	Lurlene Sartain
Delores Soderberg	HR Leads	5	3	2	Francene Dollar
Renna Grothe	Accountants	5	3.5	19	Dorothea Draves
Isaiah Thurmon	Accountants	5	3.5	16	Lanette Clemmer
Kenneth Blocher	Accountants	5	3.5	20	Lanette Clemmer
Patrina Bogen	Accountants	5	3.5	6	Donnetta Font
Neda Wootten	Accountants	5	3.5	7	Kristian Chiesa
Larry Pappalardo	Accountants	5	3.5	18	Kristian Chiesa
Eboni Mclaurin	IT Managers	5	2.5	9	Brunilda Nipper
Dominica Viramontes	IT Managers	5	2.5	2	Brunilda Nipper
Chasidy Spengler	HR Leads	5	3	7	Kai Gremillion
Ricarda Aller	Accountants	5	3.5	7	Phil Delagarza
Peter Towle	Accountants	5	3.5	23	Kristian Chiesa
Diana Varnell	Accountants	5	3.5	24	Oma Burrill
Cassy Arnot	Accountants	5	3.5	10	Phil Delagarza
Shanelle Drayton	Accountants	5	3.5	18	Oma Burrill
Leatha Hankey	Accountants	5	3.5	24	Oma Burrill
Dot Loffredo	IT Managers	5	2.5	6	Brunilda Nipper
Fletcher Lenhardt	IT Managers	5	2.5	2	Noelia Forster
Denna Fink	HR Leads	5	3	19	Francene Dollar
Marivel Kalis	HR Specialists	6	1.25	20	Lorita Thigpen
Natacha Rayl	Secretaries	6	1	1	Leatha Hankey
Conrad Bourget	IT Specialists	6	1.75	12	Trinidad Mccrum
Glady Engelhardt	IT Specialists	6	1.75	15	Dot Loffredo
Cyndi Rhodus	IT Specialists	6	1.75	23	Dot Loffredo
Chae Olesen	IT Specialists	6	1.75	14	Eboni Mclaurin
